Country Name,Country Code,Series Name,Series Code,1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,179.426610967229,190.683814295088,211.382116942655,242.031284871985,263.733691663044,359.693237501395,364.6607447985,438.076034406941,543.303041863931,591.162759035926,641.871479157538,637.165523187024,613.856689167623,578.466352941708,509.218661332126,519.884773089339,493.750418116312,507.103431871987,..
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,639.865909445734,693.873474633887,674.793383069492,652.774321396566,697.995596576519,617.230435515505,336.586994504629,200.852219772323,367.279225077581,586.416339644261,750.604449178826,1009.97766752106,717.380567391734,813.790263555599,1033.2416930932,1126.68331762741,1281.65939343074,1425.12484888368,1846.11881331912,2373.57984371994,2673.78728253113,2972.74326462176,3595.03716321514,4370.54012699014,4114.14011404922,4094.3503344202,4437.14288515077,4247.62998374252,4413.06086120676,4578.6319939825,3952.80121524465,4124.05572595352,4531.02080555986,5284.38018438156,5353.2448564014,..
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,2582.87958916856,2757.13052415538,2807.33029744222,2417.3766834056,2215.84755797478,2408.68881482248,1731.61127444317,1776.03667438071,1807.32854846258,1507.86531803627,1452.26944487837,1603.93792062434,1619.80622391421,1596.00371429844,1588.34652183253,1765.02219817503,1740.60701070604,1781.82554584109,2103.38182192144,2609.9528233141,3113.09533085084,3478.71092859121,3946.6644517917,4923.84318504191,3883.13242529774,4479.34171958005,5462.26089723183,5591.21235322404,5498.78409497823,5494.3523360423,4187.50972747204,3945.48208133854,4111.29411013269,4153.73397805915,3973.96407191565,..
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8700.06770480704,8856.54745899435,8578.94472277609,8444.98169974145,8391.56106721708,8909.44915617236,9792.66680581646,11961.2582255703,10271.2245225485,10294.3022651052,11568.7930012395,11505.3937142139,11507.2323493037,11843.3311832581,11696.9555623329,10823.4448040273,11466.6907058505,..,..
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,7774.39382903478,10361.8159820255,12616.167565929,14304.3569645785,15166.437850754,18878.5059692988,19532.5401504525,20547.7117897897,16516.4710272204,16234.8090102012,18461.0648581512,19017.1745902241,18353.0597218473,18894.5214963227,19261.7105038886,21854.2468030614,22971.535535508,25066.8822109807,32271.9639023596,37969.1749907994,40066.2569185146,42675.8127569297,47803.6936075266,48718.4968691913,43503.1855156769,40852.6667774434,43335.3288618283,38686.4612635075,39538.7667220426,41303.9293714464,35762.523073758,37474.6654057245,38962.8803536703,41793.0552583729,40886.3911648431,..
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,758.237576171151,685.270085316704,756.261853027412,792.303120218644,890.554136459008,947.704182085371,865.69272959239,656.361755960006,441.200673252825,328.673294707808,397.179450769472,522.643807265256,514.295223223424,423.59366023208,387.784316047502,556.836318086553,527.333528536691,872.494491592841,982.960899291112,1255.56404471491,1902.42234554625,2599.56646397608,3121.99563726236,4080.94140992346,3122.78076649385,3587.88379824396,4615.46802807906,5100.09580809767,5254.88233799616,5408.41049555432,4166.97968386501,3506.07288506966,4095.81294155857,3289.64666408633,2790.72661520665,..
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,3899.32872843063,4703.17940118439,5463.24127633961,6453.47700017448,7076.42221194876,7348.23391713105,7601.86544111931,7744.28008688374,8136.18854727449,8770.75218185866,8406.6037786731,9030.96104811864,9492.05788405833,9940.17343028596,10260.5994054155,10871.0057141966,10367.3196068161,10401.4494090489,10799.4488814161,11448.536516999,12557.085410458,13997.6659286487,15623.2506516942,16043.5421662397,14160.0722757203,13049.2570545735,12746.2050243357,13272.4413293826,12909.7441775006,13501.5809223367,14286.0931598293,15197.6174551735,15383.4151884998,16672.7442395764,17112.8211347326,..
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,2926.126969514,3613.62170927636,3562.87560174521,3985.19121035849,2383.86769311311,4333.48297312146,5735.36032735223,6823.5376160468,6969.11808781005,7483.13968170844,7408.70823818765,7721.35454273963,8213.12719994479,8289.50572933118,7774.73620280001,7708.10099605414,7208.3715665121,2593.40415042466,3349.8061244115,4277.72135064389,5109.85132522621,5919.01203707753,7245.44831728945,9020.87309807194,8225.13717626412,10385.9644319555,12848.8641969705,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2424732447,14613.0418246696,11633.4980086465,9912.28180859803,..
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,637.854659491342,590.121047267559,369.632616583198,357.203277745679,400.515238080735,456.375048663809,504.058559449916,523.283068040748,609.172437516102,597.432514707894,622.742139063498,694.42322774468,783.240698647042,930.127321851799,1191.91901957402,1643.7530293611,2158.14369710179,3139.27749894333,4010.85724255226,2994.34254448509,3218.37270660563,3525.80474671153,3681.8574560431,3838.18580148382,3986.23162376713,3607.29669672271,3591.82927553023,3914.5012684128,4220.49027671249,4622.73349328671,..
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,..,6472.50202920407,7885.79654466735,9764.78997879329,11392.4558105764,12307.3117378314,13496.0031426418,14046.5037643078,14936.8272187795,16241.0465209443,16439.3563609282,16586.0684357542,17927.7496352086,19078.3431907515,19356.2033894901,20620.7006259175,20669.0319688645,20436.8871286309,20833.7616116694,22569.9749851801,23300.0395575696,24045.2724833547,25835.1326676284,27084.7036903653,24630.4537141023,23512.6025956397,24985.9932813737,24713.6980451285,26189.4355088129,26647.938100985,27980.8806952751,28281.35048163,29007.6930034887,..,..,..
